long,lat,rural_urban,country,haz_new_mean,waz_new_mean,bmi_adult_mean
-0.137746,7.06321,rural,Ghana,-183.33333333333334,-156.0,1841.0
-0.121187,6.085881,rural,Ghana,-130.875,-151.625,2186.0
-0.120333,6.221854,rural,Ghana,-274.6666666666667,-61.666666666666664,2961.5
-0.11056,11.077399,urban,Ghana,-124.83333333333333,-141.0,2006.0
-0.11014,5.603934,urban,Ghana,-130.4,-136.4,2436.4
-0.106487,10.828064,rural,Ghana,-142.2,-111.0,2332.5
-0.105796,5.577422,urban,Ghana,-138.8,-85.2,2467.0
-0.080867,7.041472,urban,Ghana,-69.66666666666667,-26.333333333333332,2380.6666666666665
-0.078959,5.615306,urban,Ghana,-1.3333333333333333,74.33333333333333,2482.0
-0.069306,10.896973,rural,Ghana,-152.26666666666668,-114.53333333333333,2186.133333333333
-0.069205,5.922917,urban,Ghana,19.5,3.5,2703.25
-0.063037,6.260237,rural,Ghana,-158.2,-134.0,2132.5714285714284
-0.048887,8.172638,urban,Ghana,-161.66666666666666,-65.66666666666667,2326.6666666666665
-0.039772,9.011417,rural,Ghana,-144.375,-49.25,2061.5555555555557
-0.035525,5.655886,urban,Ghana,-103.75,-130.5,2777.2
-0.035058,5.6311,urban,Ghana,51.6,36.0,2975.4
-0.032469,5.701733,urban,Ghana,-61.2,-62.0,2954.8
-0.02901,6.08352,urban,Ghana,-55.5,-122.0,2204.5
